ID;SID;x;y;z
200;21;17.00;101.75;111.95
201;22;16.50;100.75;112.00
202;22;16.50;100.75;111.95
203;22;16.50;101.25;112.00
204;22;16.50;101.25;111.95
205;22;17.00;100.75;112.00
206;22;17.00;100.75;111.95
207;22;17.00;101.25;112.00
208;22;17.00;101.25;111.95
209;31;16.00;101.75;111.95
210;31;16.00;101.75;111.90
211;31;16.00;102.25;111.95
212;31;16.00;102.25;111.90
213;31;16.50;101.75;111.95
214;31;16.50;101.75;111.90
215;31;16.50;102.25;111.95
216;31;16.50;102.25;111.90
217;32;16.00;102.25;111.95
218;32;16.00;102.25;111.90
219;32;16.00;102.75;111.95
220;32;16.00;102.75;111.90
221;32;16.50;102.25;111.95
222;32;16.50;102.25;111.90
223;32;16.50;102.75;111.95
224;32;16.50;102.75;111.90
225;33;16.50;102.25;111.95
226;33;16.50;102.25;111.90
227;33;16.50;102.75;111.95
228;33;16.50;102.75;111.90
229;33;17.00;102.25;111.95
230;33;17.00;102.25;111.90
231;33;17.00;102.75;111.95
232;33;17.00;102.75;111.90
233;34;16.50;101.75;111.95
234;34;16.50;101.75;111.90
235;34;16.50;102.25;111.95
236;34;16.50;102.25;111.90
237;34;17.00;101.75;111.95
238;34;17.00;101.75;111.90
239;34;17.00;102.25;111.95
240;34;17.00;102.25;111.90
241;27;16.00;100.75;111.95
242;27;16.00;100.75;111.90
243;27;16.00;101.25;111.95
244;27;16.00;101.25;111.90
245;27;16.50;100.75;111.95
246;27;16.50;100.75;111.90
247;27;16.50;101.25;111.95
248;27;16.50;101.25;111.90
249;28;16.00;101.25;111.95
250;28;16.00;101.25;111.90
251;28;16.00;101.75;111.95
252;28;16.00;101.75;111.90
253;28;16.50;101.25;111.95
254;28;16.50;101.25;111.90
255;28;16.50;101.75;111.95
256;28;16.50;101.75;111.90
257;29;16.50;101.25;111.95
258;29;16.50;101.25;111.90
259;29;16.50;101.75;111.95
260;29;16.50;101.75;111.90
261;29;17.00;101.25;111.95
262;29;17.00;101.25;111.90
263;29;17.00;101.75;111.95
264;29;17.00;101.75;111.90
265;30;16.50;100.75;111.95
266;30;16.50;100.75;111.90
267;30;16.50;101.25;111.95
268;30;16.50;101.25;111.90
269;30;17.00;100.75;111.95
270;30;17.00;100.75;111.90
271;30;17.00;101.25;111.95
