"SID","above_surface","escargotiere","mixed_escargotiere","mixed_couche_rouge","couche_rouge","below_bottom"
159,NA,100,NA,NA,NA,NA
160,NA,100,NA,NA,NA,NA
161,NA,100,NA,NA,NA,NA
162,NA,100,NA,NA,NA,NA
163,NA,100,NA,NA,NA,NA
164,NA,100,NA,NA,NA,NA
165,NA,100,NA,NA,NA,NA
166,NA,100,NA,NA,NA,NA
167,NA,100,NA,NA,NA,NA
168,NA,100,NA,NA,NA,NA
169,NA,100,NA,NA,NA,NA
170,NA,100,NA,NA,NA,NA
171,NA,100,NA,NA,NA,NA
172,NA,100,NA,NA,NA,NA
173,NA,100,NA,NA,NA,NA
174,NA,100,NA,NA,NA,NA
175,NA,100,NA,NA,NA,NA
176,NA,100,NA,NA,NA,NA
177,NA,100,NA,NA,NA,NA
178,NA,100,NA,NA,NA,NA
179,NA,100,NA,NA,NA,NA
180,NA,100,NA,NA,NA,NA
181,NA,100,NA,NA,NA,NA
182,NA,100,NA,NA,NA,NA
183,NA,100,NA,NA,NA,NA
184,NA,100,NA,NA,NA,NA
185,NA,100,NA,NA,NA,NA
186,NA,100,NA,NA,NA,NA
187,NA,100,NA,NA,NA,NA
188,NA,100,NA,NA,NA,NA
189,NA,100,NA,NA,NA,NA
190,NA,100,NA,NA,NA,NA
191,NA,100,NA,NA,NA,NA
192,NA,100,NA,NA,NA,NA
193,NA,100,NA,NA,NA,NA
194,NA,100,NA,NA,NA,NA
195,NA,100,NA,NA,NA,NA
196,NA,100,NA,NA,NA,NA
197,NA,100,NA,NA,NA,NA
198,NA,100,NA,NA,NA,NA
199,NA,100,NA,NA,NA,NA
200,NA,100,NA,NA,NA,NA
201,NA,100,NA,NA,NA,NA
202,NA,100,NA,NA,NA,NA
203,NA,100,NA,NA,NA,NA
204,NA,100,NA,NA,NA,NA
205,NA,100,NA,NA,NA,NA
206,NA,99.1,0.9,NA,NA,NA
207,NA,96.8,3.2,NA,NA,NA
208,NA,100,NA,NA,NA,NA
209,NA,100,NA,NA,NA,NA
210,NA,100,NA,NA,NA,NA
211,NA,100,NA,NA,NA,NA
212,NA,100,NA,NA,NA,NA
213,NA,100,NA,NA,NA,NA
214,NA,100,NA,NA,NA,NA
215,NA,100,NA,NA,NA,NA
216,NA,100,NA,NA,NA,NA
217,NA,100,NA,NA,NA,NA
218,NA,100,NA,NA,NA,NA
219,NA,94,6,NA,NA,NA
220,NA,87.5,12.5,NA,NA,NA
221,NA,100,NA,NA,NA,NA
222,NA,100,NA,NA,NA,NA
223,NA,100,NA,NA,NA,NA
224,NA,100,NA,NA,NA,NA
225,NA,100,NA,NA,NA,NA
226,NA,100,NA,NA,NA,NA
227,NA,100,NA,NA,NA,NA
228,NA,100,NA,NA,NA,NA
229,NA,100,NA,NA,NA,NA
230,NA,100,NA,NA,NA,NA
231,NA,100,NA,NA,NA,NA
232,NA,82.9,17.1,NA,NA,NA
233,NA,74.1,25.9,NA,NA,NA
234,NA,100,NA,NA,NA,NA
